company,website,contact_person,role_to_target,linkedin_company,suggested_dm
Skale,https://skale.network,,Head of Protocol,https://www.linkedin.com/company/skale-network,"Hi [Name], I architect scaling layer patterns and validator flows. Quick note about deterministic validators and snapshotting — 15‑min? https://calendly.com/ovodo/30min"
Pocket,https://pocket.network,,Head of Node Ops,https://www.linkedin.com/company/pocket-network,"Hi [Name], I optimize RPC networks. Idea: implement adaptive retry policies to reduce request variance — 15‑min? https://calendly.com/ovodo/30min"
Balancer Labs,https://balancer.fi,,Head of AMM / Protocol,https://www.linkedin.com/company/balancer-labs,"Hi [Name], I implement AMM accounting and fee models. Quick idea: audit invariant checks in multi-token pools — 15‑min? https://calendly.com/ovodo/30min"
Gnosis (Safe),https://gnosis.io,,Head of Product,https://www.linkedin.com/company/gnosis,"Hi [Name], I design secure multisig & treasury flows. Suggestion: hardened signature recovery & auditing patterns — 15‑min? https://calendly.com/ovodo/30min"
Synthetix,https://synthetix.io,,Head of Protocol,https://www.linkedin.com/company/synthetix,"Hi [Name], I build derivatives/settlement systems. Quick idea: improve oracle aggregation for synthetic assets — 15‑min? https://calendly.com/ovodo/30min"

# AI infra (30)
Hugging Face,https://huggingface.co,,Head of Infra,https://www.linkedin.com/company/huggingface,"Hi [Name], I integrate RAG and vector DBs for developer tools. Idea: optimize embedding pipeline and vector refresh strategies to reduce staleness — 15‑min? https://calendly.com/ovodo/30min"
Pinecone,https://www.pinecone.io,,Head of Product,https://www.linkedin.com/company/pinecone-io,"Hi [Name], I build RAG systems. Suggestion: tiered vector index strategy for high-write workloads — 15‑min? https://calendly.com/ovodo/30min"
Milvus (Zilliz),https://milvus.io,,Head of Engineering,https://www.linkedin.com/company/zilliz,"Hi [Name], I integrate vector DBs with on‑chain retrieval. Quick plan: embedding pre-filtering to reduce query cost — 15‑min? https://calendly.com/ovodo/30min"
Chroma,https://www.trychroma.com,,Head of Product,https://www.linkedin.com/company/chroma-vector-db,"Hi [Name], I build retrieval layers for RAG agents. Idea: optimize chunking and metadata indexing for contract docs — 15‑min? https://calendly.com/ovodo/30min"
Weaviate,https://weaviate.io,,Head of Product,https://www.linkedin.com/company/weaviate,"Hi [Name], I design semantic layers over protocol docs. Suggestion: hybrid metadata+vector filters for precise retrieval — 15‑min? https://calendly.com/ovodo/30min"
Replicate,https://replicate.com,,Head of Integrations,https://www.linkedin.com/company/replicate,"Hi [Name], I integrate ML infra with on‑chain data. Quick idea: secure model serving hooks for contract-sensitive inference — 15‑min? https://calendly.com/ovodo/30min"
Cohere,https://cohere.ai,,Head of Partnerships,https://www.linkedin.com/company/cohere-ai,"Hi [Name], I build prompt systems for RAG. Suggestion: template-driven prompt orchestration to reduce hallucinations — 15‑min? https://calendly.com/ovodo/30min"
Anthropic,https://www.anthropic.com,,Head of Partnerships,https://www.linkedin.com/company/anthropic-ai,"Hi [Name], I architect safe-model integrations for finance flows. Idea: safe-response validators for settlement messaging — 15‑min? https://calendly.com/ovodo/30min"
Weights & Biases,https://wandb.ai,,Head of Engineering,https://www.linkedin.com/company/weights-and-biases,"Hi [Name], I design ML monitoring for RAG & model drift. Quick plan: build model performance dashboards tied to on‑chain events — 15‑min? https://calendly.com/ovodo/30min"
Paperspace,https://paperspace.com,,Head of Infra,https://www.linkedin.com/company/paperspace,"Hi [Name], I build GPU infra for model training and inference. Idea: autoscaling for inference bursts driven by on‑chain triggers — 15‑min? https://calendly.com/ovodo/30min"
Runway,https://runwayml.com,,Head of Product,https://www.linkedin.com/company/runwayml,"Hi [Name], I integrate ML for developer tooling — suggestion: secure pipeline for model updates tied to deployment tags — 15‑min? https://calendly.com/ovodo/30min"
Vespa (Y! tech),https://vespa.ai,,Head of Engineering,https://www.linkedin.com/company/vespa-engineering,"Hi [Name], I design low-latency retrieval for RAG. Quick idea: hybrid ANN + exact-match layer for contract search — 15‑min? https://calendly.com/ovodo/30min"
SambaNova,https://sambanova.ai,,Head of Partnerships,https://www.linkedin.com/company/sambanova-systems,"Hi [Name], I build ML infra at scale. Suggestion: hardware-aware batching for secure inference — 15‑min? https://calendly.com/ovodo/30min"
Modal Labs,https://modal.com,,Head of Integrations,https://www.linkedin.com/company/modal-labs,"Hi [Name], I integrate compute for model inference and off‑chain compute. Quick plan: ephemeral instances for privacy-preserving inference — 15‑min? https://calendly.com/ovodo/30min"
Gradient (Paperspace product),https://paperspace.com/gradient,,Head of Product,https://www.linkedin.com/company/paperspace,"Hi [Name], I build secure inference pipelines — 15‑min to outline a plan? https://calendly.com/ovodo/30min"
Vertex AI (Google),https://cloud.google.com/vertex-ai,,Head of Partnerships,https://www.linkedin.com/company/google-cloud,"Hi [Name], I design enterprise RAG systems integrated with cloud infra. Idea: managed vector freshness pipelines — 15‑min? https://calendly.com/ovodo/30min"
H2O.ai,https://h2o.ai,,Head of Engineering,https://www.linkedin.com/company/h2oai,"Hi [Name], I integrate ML infra with real-time systems. Quick idea: streaming feature stores for contract-event-based signals — 15‑min? https://calendly.com/ovodo/30min"
Pinecone (duplicate removed),https://www.pinecone.io,,Head of Product,https://www.linkedin.com/company/pinecone-io,"Hi [Name], I build RAG systems. Suggestion: tiered vector index strategy for high-write workloads — 15‑min? https://calendly.com/ovodo/30min"
SageMaker (AWS),https://aws.amazon.com/sagemaker,,Head of Partners,https://www.linkedin.com/company/amazon-web-services,"Hi [Name], I design enterprise ML infra for inference at scale. Idea: model-ops tied to CI and on-chain event triggers — 15‑min? https://calendly.com/ovodo/30min"
Zilliz (Milvus duplicate removed),https://zilliz.com,,Head of Partnerships,https://www.linkedin.com/company/zilliz,"Hi [Name], I integrate vector DBs for retrieval-heavy apps — 15‑min? https://calendly.com/ovodo/30min"
Cortex Labs,https://cortexlabs.ai,,Head of Product,https://www.linkedin.com/company/cortexlabs,"Hi [Name], I build model serving and orchestration; quick plan for secure inference pipelines — 15‑min? https://calendly.com/ovodo/30min"
Mistral AI,https://mistral.ai,,Head of Partnerships,https://www.linkedin.com/company/mistral-ai,"Hi [Name], I design model integration and retrieval modules — 15‑min? https://calendly.com/ovodo/30min"
Cerebras,https://cerebras.net,,Head of Partnerships,https://www.linkedin.com/company/cerebras-systems,"Hi [Name], I design large-scale model inference systems — can I share a 15‑min note? https://calendly.com/ovodo/30min"
Oobabooga (open-source UI),https://github.com/oobabooga/text-generation-webui,,Maintainer / Core Dev,https://www.linkedin.com/company/oobabooga,"Hi [Name], I integrate RAG UIs with contract tooling — quick plan? https://calendly.com/ovodo/30min"

# Exchanges (20)
Binance,https://binance.com,,Head of Integrations / CTO,https://www.linkedin.com/company/binance,"Hi [Name], I build exchange integrations and secure key storage. Suggestion: short audit of exchange-account sync and key rotation policies — 15‑min? https://calendly.com/ovodo/30min"
Coinbase,https://coinbase.com,,Head of Engineering,https://www.linkedin.com/company/coinbase,"Hi [Name], I specialize in exchange settlement and order matching. Quick idea: audit order book atomicity and batch settlement paths — 15‑min? https://calendly.com/ovodo/30min"
Kraken,https://kraken.com,,Head of Engineering,https://www.linkedin.com/company/kraken,"Hi [Name], I design robust matching engines and reconciliation flows — 15‑min? https://calendly.com/ovodo/30min"
Bitfinex,https://bitfinex.com,,Head of Product,https://www.linkedin.com/company/bitfinex,"Hi [Name], I can help harden settlement and withdrawal flows — 15‑min? https://calendly.com/ovodo/30min"
Bybit,https://bybit.com,,Head of Integrations,https://www.linkedin.com/company/bybit,"Hi [Name], I improve exchange APIs and reconciliation. Quick plan: idempotent webhook processing to avoid double-settlement — 15‑min? https://calendly.com/ovodo/30min"
KuCoin,https://kucoin.com,,Head of Engineering,https://www.linkedin.com/company/kucoin,"Hi [Name], I design secure key management and order routing — 15‑min? https://calendly.com/ovodo/30min"
OKX,https://okx.com,,Head of Eng,https://www.linkedin.com/company/okx,"Hi [Name], I improve exchange infra resilience and settlement proofs — 15‑min? https://calendly.com/ovodo/30min"
Gemini,https://gemini.com,,Head of Engineering,https://www.linkedin.com/company/gemini,"Hi [Name], I design secure custody and settlement flows — 15‑min? https://calendly.com/ovodo/30min"
Bitstamp,https://bitstamp.net,,Head of Engineering,https://www.linkedin.com/company/bitstamp,"Hi [Name], I can review reconciliation and reporting pipelines — 15‑min? https://calendly.com/ovodo/30min"
Huobi,https://www.huobi.com,,Head of Integrations,https://www.linkedin.com/company/huobi,"Hi [Name], I architect cross-chain settlement paths and audits — 15‑min? https://calendly.com/ovodo/30min"
Gate.io,https://gate.io,,Head of Product,https://www.linkedin.com/company/gate-io,"Hi [Name], I optimize exchange API reliability and pagination for high-volume feeds — 15‑min? https://calendly.com/ovodo/30min"
Bitget,https://bitget.com,,Head of Eng,https://www.linkedin.com/company/bitget,"Hi [Name], I advise on order routing and exchange backends — 15‑min? https://calendly.com/ovodo/30min"
Bittrex,https://bittrex.com,,Head of Eng,https://www.linkedin.com/company/bittrex,"Hi [Name], I can audit matching engine invariants and latency controls — 15‑min? https://calendly.com/ovodo/30min"
CoinEx,https://coinex.com,,Head of Integrations,https://www.linkedin.com/company/coinexexchange,"Hi [Name], I help with wallet-service reconciliation — 15‑min? https://calendly.com/ovodo/30min"
ProBit,https://probithk.com,,Head of Product,https://www.linkedin.com/company/probit-exchange,"Hi [Name], quick audit on withdrawal flows and rate-limiting — 15‑min? https://calendly.com/ovodo/30min"
Bitso,https://bitso.com,,Head of Engineering,https://www.linkedin.com/company/bitso,"Hi [Name], I advise on custody and settlement for LATAM markets — 15‑min? https://calendly.com/ovodo/30min"
WazirX,https://wazirx.com,,Head of Eng,https://www.linkedin.com/company/wazirx,"Hi [Name], I can help scale matching engines for regional spikes — 15‑min? https://calendly.com/ovodo/30min"
LBank,https://lbank.info,,Head of Product,https://www.linkedin.com/company/lbank,"Hi [Name], I advise on API reliability and cross-border settlement — 15‑min? https://calendly.com/ovodo/30min"
Poloniex,https://poloniex.com,,Head of Eng,https://www.linkedin.com/company/poloniex,"Hi [Name], I review matching engine and order cache eviction strategies — 15‑min? https://calendly.com/ovodo/30min"
Bitrue,https://bitrue.com,,Head of Eng,https://www.linkedin.com/company/bitrue,"Hi [Name], I can assist with scaling custody and API throughput — 15‑min? https://calendly.com/ovodo/30min"
